qp,job,qp_NSQF,qp_sector,similarity
Solar PV Engineer (Option: Solar Water Pumping System),Solar technician,5.0,Green Jobs,0.7348522543907166
Solar PV Engineer (Option: Solar Water Pumping System),Solar PV installer,5.0,Green Jobs,0.7304967045783997
Solar Photovoltaic Site Survey Assistant,Solar technician,3.5,Green Jobs,0.7298638820648193
Solar PV Installer (Suryamitra),Solar PV installer,4.0,Green Jobs,0.7190349102020264
Solar PV Installer - Electrical,Solar PV installer,4.0,Green Jobs,0.718519389629364
Solar PV Designer,Solar PV installer,7.0,Green Jobs,0.714876115322113
Solar PV Designer,Solar technician,7.0,Green Jobs,0.7111586332321167
Solar PV Installer (Suryamitra),Solar technician,4.0,Green Jobs,0.7108418941497803
Solar PV Installer - Electrical,Solar technician,4.0,Green Jobs,0.7107280492782593
Solar PV Installer - Civil,Solar PV installer,4.0,Green Jobs,0.7044029235839844
Solar PV Installer - Civil,Solar technician,4.0,Green Jobs,0.6874671578407288
Solar Photovoltaic Technician,Solar technician,4.0,Green Jobs,0.684877872467041
Solar Photovoltaic Site Survey Assistant,Solar PV installer,3.5,Green Jobs,0.6778794527053833
Guest Service Associate (Front Office),Hotel front desk clerk,4.0,Tourism & Hospitality,0.6742255687713623
Food Sales Promoter,Forklift operator,3.0,Food Processing,0.6702412366867065
Automotive Customer Relationship Manager,Car sales advisor,5.5,Automotive,0.6656252145767212
Mine  Electrician,Electrician,4.0,Mining,0.6654055714607239
Duty Manager,Hotel front desk clerk,5.0,Tourism & Hospitality,0.6606626510620117
Hotel Reception (WorldSkills),Hotel front desk clerk,4.5,Tourism & Hospitality,0.6603125929832458
Solar PV Structural Assistant Design Engineer,Solar PV installer,5.0,Green Jobs,0.6587945222854614
Solar PV Manufacturing Technician,Solar technician,4.0,Green Jobs,0.6549440622329712
Renewable Energy,Solar PV installer,4.5,Green Jobs,0.6545654535293579
Solar PV Project Helper,Solar technician,2.0,Green Jobs,0.6511964201927185
Solar PV Structural Assistant Design Engineer,Solar technician,5.0,Green Jobs,0.6501438021659851
Rooftop Solar Grid Engineer,Solar technician,5.0,Green Jobs,0.6471070647239685
Mine  Welder,Welder and fitter,4.0,Mining,0.6453946232795715
Renewable Energy,Solar technician,4.5,Green Jobs,0.6449100971221924
Solar Photovoltaic Entrepreneur,Solar PV installer,5.0,Green Jobs,0.6441264152526855
Solar PV Project Helper,Solar PV installer,2.0,Green Jobs,0.6393290758132935
Solar Photovoltaic Entrepreneur,Solar technician,5.0,Green Jobs,0.6369780898094177
Chief Miller,Mechanical fitter,5.0,Food Processing,0.6352174282073975
Junior Technician- Solar EV charging station,Solar PV installer,3.0,Green Jobs,0.6329675912857056
CMS Engineer - Wind Power Plant,Solar PV installer,5.0,Green Jobs,0.6323105096817017
Solar Photovoltaic Technician,Solar PV installer,4.0,Green Jobs,0.6308002471923828
Rooftop Solar Grid Engineer,Solar PV installer,5.0,Green Jobs,0.6307787895202637
Supervisor-Food Processing Industries,Mechanical fitter,5.0,Food Processing,0.6301693916320801
Automotive Sales Assistant,Car sales advisor,2.5,Automotive,0.6299967765808105
Cutting and Threading Operator (Metalware),Welder and fitter,2.5,Handicrafts and Carpet,0.6299231052398682
Solar PV Business Development Executive,Solar PV installer,5.0,Green Jobs,0.6297850012779236
